0x478,"Drácula\n
"
0x479,"Drácula Vlad Tepes\n
O vampiro que foi o temido\n
Senhor das Trevas.\n
Ressuscitou várias vezes e\n
travou uma longa e brutal\n
guerra contra a família\n
dos Belmonts.\n
Em 1999, ele foi derrotado\n
em definitivo, o que pôs\n
um fim ao seu legado\n
como Senhor das Trevas.\n
"
0x47A,"Soma\n
"
0x47B,"Soma Cruz\n
A reencarnação de Drácula, ele tem a\n
habilidade de dominar as almas dos\n
monstros e usar seus\n
poderes como próprios.\n
Há um ano, ele soube que\n
estava destinado a se\n
tornar o Senhor das\n
Trevas. Porém, superou\n
o caos que se instalou\n
dentro de si e escapou\n
desse destino.\n
"
0x47C,"Mina\n
"
0x47D,"Mina Hakuba\n
Amiga de longa data de Soma e única filha\n
dos sacerdotes do Templo Hakuba.\n
Um ano antes, ela e Soma\n
ficaram presos no Castelo\n
de Drácula, que por sua\n
vez, foi selado durante\n
um eclipse solar. Apesar\n
de não ter habilidades\n
especiais, ela é a pessoa\n
na qual Soma mais\n
confia.\n
"
0x47E,"Julius\n
"
0x47F,"Julius Belmont\n
Um descendente de uma família de\n
caçadores de vampiros, é o detentor do\n
lendário chicote ""Mata-Vampiros"".\n
Ele perdeu a memória ao\n
derrotar Drácula em 1999\n
e só recuperou durante o\n
incidente do ano passado.\n
Agora auxilia a Igreja\n
em seus negócios.\n
"
0x480,"Arikado\n
"
0x481,"Genya Arikado\n
Um membro de uma agência ultra secreta\n
do governo japonês. Envolto em mistério,\n
sua real identidade é\n
conhecida apenas por\n
algumas pessoas.\n
Embora ele tenha uma\n
beleza marcante, seu\n
comportamento frio e\n
distante o torna difícil\n
de se aproximar.\n
"
0x482,"Alucard\n
"
0x483,"Adrian Fahrenheit Tepes\n
O filho de Drácula e identidade de Genya\n
Arikado. Adormeceu em 1476 após derrotar\n
seu próprio pai e acordou em\n
1797 para ajudar os Belmonts.\n
Selou seu próprio poder\n
para evitar o retorno\n
de Drácula. Almeja\n
impedir que Soma,\n
possuidor da alma de\n
Drácula, torne-se o\n
Senhor das Trevas.\n
"
0x484,"Yoko\n
"
0x485,"Yoko Belnades\n
Uma bruxa pertencente à Igreja e perita\n
em eliminar secretamente seres do mal\n
que ameacem os humanos.\n
É descendente de uma\n
família que ajudou a\n
derrotar Drácula em 1476.\n
Ela é simpática e\n
intrometida. Conhece há\n
muito tempo os Hakubas\n
e é como uma irmã mais\n
velha para Mina.\n
"
0x486,"Hammer\n
"
0x487,"Agora um mercador, ele saiu do serviço\n
militar por causa do incidente do ano\n
passado. Apesar de parecer\n
grosseiro e astuto, ele é\n
na verdade sem rumo e\n
irresponsável. Age como\n
um informante por meio\n
de seus contatos de\n
negócios obscuros. Está\n
perdidamente apaixonado\n
por Yoko.\n
"
0x488,"A Batalha de 1999\n
"
