0x396,Memórias Sombrias
0x397,Ecos da Escuridão
0x398,Nuvens Negras
0x399,Intrusão Negra
0x39A,Lágrimas de Drácula
0x39B,Luar de Platina
0x39C,Após a Confissão
0x39D,Pensão Demoníaca
0x39E,Torre Condenada
0x39F,Torre do Relógio Amaldiçoada
0x3A0,Inferno Subterrâneo
0x3A1,Mata-Vampiros
0x3A2,Pináculo
0x3A3,Melodias das Profundezas
0x3A4,Abismo
0x3A5,Fim de Jogo
0x3A6,Calafrio Negro
0x3A7,Convite Maligno
0x3A8,Na Escuridão da Noite
0x3A9,Alma de Batalha Escarlate
0x3AA,Portal para a Bravura Negra
0x3AB,Fúria Penetrante de Batalha
0x3AC,Música Ilusória
0x3AD,Conto de Equipamento
0x3AE,Alívio Passageiro
0x3AF,Pós-Batalha - Memórias Tristes -
0x3B0,"Luar Momentâneo \n
"
0x3B1,O Início
0x3B2,Lágrimas de Sangue
